distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9981629359202888,0.9965227755378786,0.9964522756005056,0.9966190476190476,0.9967191142191142,0.9991071428571429
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9991987179487178,0.9965227755378786,0.9964522756005056,0.9966190476190476,0.9967191142191142,1.0
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9991987179487178,0.9942223278374307,0.9937895069532239,0.9950952380952381,0.9939125874125873,1.0
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9996153846153846,0.9975277904907195,0.997337231352718,0.9978571428571428,0.997397435897436,1.0
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9995986137075246,0.9921364207620501,0.9920116940581544,0.9927813852813854,0.9922074592074595,1.0
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9995801330133013,0.9913338566594859,0.9911346396965867,0.9920879120879121,0.991362470862471,1.0
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9999427697973416,0.9896562735340767,0.9893568268015172,0.990495670995671,0.9898997668997669,1.0
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9999175812603885,0.9903507064763357,0.9902496839443742,0.9910389610389612,0.99059324009324,1.0
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9998436578499478,0.9895538810795103,0.9893647281921618,0.9901744921744923,0.9898240093240094,1.0
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9998159130392675,0.9868286234910949,0.9867098609355246,0.9878459873459873,0.9869417249417249,1.0
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9997915275237931,0.9851550760960371,0.9849320480404552,0.9864398934398935,0.9854300699300701,1.0
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9997289602715927,0.9834615645393677,0.9831621365360304,0.984861138861139,0.9836608391608394,1.0
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9996976325234332,0.9844626215296695,0.9840549936788875,0.9857702297702298,0.9845967365967366,1.0
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9996805032539454,0.9843913309844659,0.9840549936788875,0.9858013653013653,0.9845967365967366,1.0
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9996661323598423,0.9836604903275383,0.9831700379266751,0.985012654012654,0.9838275058275059,1.0
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9995663650075415,0.9991652173913044,0.9991150442477876,0.9991666666666668,0.9992307692307693,1.0
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9996153846153846,0.9991652173913044,0.9991150442477876,0.9991666666666668,0.9992307692307693,1.0
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9996153846153846,0.9966014747012458,0.9964522756005056,0.996857142857143,0.9966282051282052,1.0
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9995986914076024,0.9966014747012458,0.9964522756005056,0.996857142857143,0.9966282051282052,1.0
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9995909213998324,0.9957169566428148,0.9955594184576485,0.9961190476190476,0.9957191142191142,1.0
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9999755367844477,0.9930172326952647,0.9928966498103666,0.9934761904761904,0.9931165501165502,1.0
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9999677667766778,0.9938532127419999,0.9937895069532239,0.9942813852813852,0.9939498834498834,1.0
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9999501151472613,0.9904329676849126,0.9902417825537295,0.9911580086580086,0.9905291375291376,1.0
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9999445344534452,0.9922176249803251,0.992019595448799,0.9930670995670996,0.9921317016317015,1.0
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9999445344534452,0.9903656593173755,0.9902496839443742,0.9910194805194805,0.99059324009324,1.0
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9999368421457528,0.9886324085948799,0.9884797724399494,0.9894901764901766,0.9886841491841493,1.0
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9999083216466442,0.9903228021745184,0.9902496839443742,0.9909437229437229,0.9905291375291375,1.0
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9999027409528282,0.9886477512994676,0.9884797724399494,0.9893503163503163,0.9888508158508159,1.0
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9998778074640043,0.9878906650684682,0.9875869152970923,0.988936396936397,0.9880174825174827,1.0
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9998884212855674,0.9859906662792246,0.9858249051833121,0.9871078921078921,0.9861724941724942,1.0
