distance_metric,k,split,class,precision,recall,f1,support
euclidean,1,train,100180860,1.0,1.0,1.0,603
euclidean,1,train,100192430,1.0,1.0,1.0,1224
euclidean,1,train,100610443,1.0,1.0,1.0,801
euclidean,1,train,100610883,1.0,1.0,1.0,585
euclidean,1,train,300000007,1.0,1.0,1.0,1035
euclidean,1,train,300000018,1.0,1.0,1.0,666
euclidean,1,train,300000034,1.0,1.0,1.0,1890
euclidean,1,train,300000080,1.0,1.0,1.0,1782
euclidean,1,train,300000082,1.0,1.0,1.0,882
euclidean,1,train,700018215,1.0,1.0,1.0,576
euclidean,1,test,100180860,0.5409836065573771,0.4925373134328358,0.5156250000000001,67
euclidean,1,test,100192430,0.6012269938650306,0.7205882352941176,0.6555183946488294,136
euclidean,1,test,100610443,0.7415730337078652,0.7415730337078652,0.7415730337078652,89
euclidean,1,test,100610883,0.5432098765432098,0.676923076923077,0.6027397260273973,65
euclidean,1,test,300000007,0.7653061224489796,0.6521739130434783,0.7042253521126761,115
euclidean,1,test,300000018,0.6515151515151515,0.581081081081081,0.6142857142857142,74
euclidean,1,test,300000034,0.7105263157894737,0.7714285714285715,0.7397260273972601,210
euclidean,1,test,300000080,0.6312849162011173,0.5707070707070707,0.59946949602122,198
euclidean,1,test,300000082,0.7040816326530612,0.7040816326530612,0.7040816326530612,98
euclidean,1,test,700018215,0.5660377358490566,0.46875,0.5128205128205129,64
euclidean,2,train,100180860,1.0,1.0,1.0,603
euclidean,2,train,100192430,1.0,1.0,1.0,1224
euclidean,2,train,100610443,1.0,1.0,1.0,801
euclidean,2,train,100610883,1.0,1.0,1.0,585
euclidean,2,train,300000007,1.0,1.0,1.0,1035
euclidean,2,train,300000018,1.0,1.0,1.0,666
euclidean,2,train,300000034,1.0,1.0,1.0,1890
euclidean,2,train,300000080,1.0,1.0,1.0,1782
euclidean,2,train,300000082,1.0,1.0,1.0,882
euclidean,2,train,700018215,1.0,1.0,1.0,576
euclidean,2,test,100180860,0.5409836065573771,0.4925373134328358,0.5156250000000001,67
euclidean,2,test,100192430,0.6012269938650306,0.7205882352941176,0.6555183946488294,136
euclidean,2,test,100610443,0.7415730337078652,0.7415730337078652,0.7415730337078652,89
euclidean,2,test,100610883,0.5432098765432098,0.676923076923077,0.6027397260273973,65
euclidean,2,test,300000007,0.7653061224489796,0.6521739130434783,0.7042253521126761,115
euclidean,2,test,300000018,0.6515151515151515,0.581081081081081,0.6142857142857142,74
euclidean,2,test,300000034,0.7105263157894737,0.7714285714285715,0.7397260273972601,210
euclidean,2,test,300000080,0.6312849162011173,0.5707070707070707,0.59946949602122,198
euclidean,2,test,300000082,0.7040816326530612,0.7040816326530612,0.7040816326530612,98
euclidean,2,test,700018215,0.5660377358490566,0.46875,0.5128205128205129,64
euclidean,3,train,100180860,1.0,1.0,1.0,603
euclidean,3,train,100192430,1.0,1.0,1.0,1224
euclidean,3,train,100610443,1.0,1.0,1.0,801
euclidean,3,train,100610883,1.0,1.0,1.0,585
euclidean,3,train,300000007,1.0,1.0,1.0,1035
euclidean,3,train,300000018,1.0,1.0,1.0,666
euclidean,3,train,300000034,1.0,1.0,1.0,1890
euclidean,3,train,300000080,1.0,1.0,1.0,1782
euclidean,3,train,300000082,1.0,1.0,1.0,882
euclidean,3,train,700018215,1.0,1.0,1.0,576
euclidean,3,test,100180860,0.6,0.4925373134328358,0.5409836065573771,67
euclidean,3,test,100192430,0.6385542168674698,0.7794117647058824,0.7019867549668874,136
euclidean,3,test,100610443,0.7582417582417582,0.7752808988764045,0.7666666666666667,89
euclidean,3,test,100610883,0.5925925925925926,0.7384615384615385,0.6575342465753424,65
euclidean,3,test,300000007,0.7894736842105263,0.6521739130434783,0.7142857142857143,115
euclidean,3,test,300000018,0.6615384615384615,0.581081081081081,0.618705035971223,74
euclidean,3,test,300000034,0.7028112449799196,0.8333333333333334,0.7625272331154683,210
euclidean,3,test,300000080,0.7239263803680982,0.5959595959595959,0.6537396121883657,198
euclidean,3,test,300000082,0.6862745098039216,0.7142857142857143,0.7000000000000001,98
euclidean,3,test,700018215,0.5714285714285714,0.4375,0.49557522123893805,64
euclidean,4,train,100180860,1.0,1.0,1.0,603
euclidean,4,train,100192430,1.0,1.0,1.0,1224
euclidean,4,train,100610443,1.0,1.0,1.0,801
euclidean,4,train,100610883,1.0,1.0,1.0,585
euclidean,4,train,300000007,1.0,1.0,1.0,1035
euclidean,4,train,300000018,1.0,1.0,1.0,666
euclidean,4,train,300000034,1.0,1.0,1.0,1890
euclidean,4,train,300000080,1.0,1.0,1.0,1782
euclidean,4,train,300000082,1.0,1.0,1.0,882
euclidean,4,train,700018215,1.0,1.0,1.0,576
euclidean,4,test,100180860,0.64,0.47761194029850745,0.5470085470085471,67
euclidean,4,test,100192430,0.6586826347305389,0.8088235294117647,0.7260726072607262,136
euclidean,4,test,100610443,0.7865168539325843,0.7865168539325843,0.7865168539325842,89
euclidean,4,test,100610883,0.625,0.7692307692307693,0.6896551724137931,65
euclidean,4,test,300000007,0.8041237113402062,0.6782608695652174,0.7358490566037736,115
euclidean,4,test,300000018,0.65625,0.5675675675675675,0.6086956521739131,74
euclidean,4,test,300000034,0.6968503937007874,0.8428571428571429,0.7629310344827586,210
euclidean,4,test,300000080,0.727810650887574,0.6212121212121212,0.670299727520436,198
euclidean,4,test,300000082,0.7087378640776699,0.7448979591836735,0.7263681592039802,98
euclidean,4,test,700018215,0.5813953488372093,0.390625,0.4672897196261682,64
euclidean,5,train,100180860,1.0,1.0,1.0,603
euclidean,5,train,100192430,1.0,1.0,1.0,1224
euclidean,5,train,100610443,1.0,1.0,1.0,801
euclidean,5,train,100610883,1.0,1.0,1.0,585
euclidean,5,train,300000007,1.0,1.0,1.0,1035
euclidean,5,train,300000018,1.0,1.0,1.0,666
euclidean,5,train,300000034,1.0,1.0,1.0,1890
euclidean,5,train,300000080,1.0,1.0,1.0,1782
euclidean,5,train,300000082,1.0,1.0,1.0,882
euclidean,5,train,700018215,1.0,1.0,1.0,576
euclidean,5,test,100180860,0.6727272727272727,0.5522388059701493,0.6065573770491803,67
euclidean,5,test,100192430,0.6645962732919255,0.7867647058823529,0.7205387205387207,136
euclidean,5,test,100610443,0.8765432098765432,0.797752808988764,0.8352941176470587,89
euclidean,5,test,100610883,0.5952380952380952,0.7692307692307693,0.6711409395973155,65
euclidean,5,test,300000007,0.8080808080808081,0.6956521739130435,0.7476635514018692,115
euclidean,5,test,300000018,0.7096774193548387,0.5945945945945946,0.6470588235294118,74
euclidean,5,test,300000034,0.6976744186046512,0.8571428571428571,0.7692307692307693,210
euclidean,5,test,300000080,0.7401129943502824,0.6616161616161617,0.6986666666666665,198
euclidean,5,test,300000082,0.7352941176470589,0.7653061224489796,0.75,98
euclidean,5,test,700018215,0.6216216216216216,0.359375,0.4554455445544554,64
euclidean,6,train,100180860,1.0,1.0,1.0,603
