distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8808078207471477,0.7826091894971847,0.8035126582278481,0.812479143405614,0.78382326007326,0.9674525316455697
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9418922024614739,0.7826091894971847,0.8035126582278481,0.812479143405614,0.78382326007326,0.9849683544303798
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9644838008581909,0.8371551479095143,0.8573101265822783,0.8710244747082981,0.83375,0.9924683544303796
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.968132084794439,0.8576615724573715,0.8685759493670886,0.889127331002331,0.850291514041514,0.9912183544303798
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9756105767715335,0.8739833148774789,0.8861234177215189,0.9057405486670194,0.867094017094017,0.9924683544303796
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9783070497307353,0.8752146380982616,0.8873892405063291,0.902528776778777,0.869241452991453,0.9949683544303797
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9820651249090602,0.883650317329068,0.8948734177215188,0.907713147963148,0.8790033577533578,0.9962341772151898
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9826239588605599,0.877395412460894,0.892389240506329,0.9060896742146743,0.8730372405372406,0.9962341772151898
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9843861663517439,0.8765684358866167,0.8924050632911392,0.9065254973784386,0.8731013431013432,0.9962341772151898
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.985580312382433,0.8793291049251015,0.8974050632911392,0.9117730733318968,0.875940170940171,0.9974841772151899
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9867479156792432,0.876897782587822,0.8974050632911391,0.9119231993496699,0.8743528693528694,0.9987341772151899
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9881070104478971,0.8735725247677367,0.8936550632911391,0.9062678359222478,0.87014652014652,0.9987341772151899
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9891382557540249,0.8699818387005053,0.888639240506329,0.9022909843424548,0.8655128205128205,0.9987341772151899
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9896146846804138,0.868332726956566,0.8874050632911393,0.903331175360587,0.8632509157509156,0.9987341772151899
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9895150385408407,0.8688064392271297,0.8861550632911392,0.90348715826657,0.8631913919413918,0.9987341772151899
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8808078207471477,0.7826091894971847,0.8035126582278481,0.812479143405614,0.78382326007326,0.9674525316455697
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9418922024614739,0.7826091894971847,0.8035126582278481,0.812479143405614,0.78382326007326,0.9849683544303798
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9644838008581909,0.8388101595645259,0.8585601265822784,0.8729292366130601,0.8354166666666668,0.9924683544303796
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9681431262607043,0.8576615724573715,0.8685759493670886,0.889127331002331,0.850291514041514,0.9912183544303798
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9756330992940558,0.8746472244446142,0.8873734177215189,0.9062099159010923,0.8678632478632478,0.9924683544303796
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9783185307869925,0.8752146380982616,0.8873892405063291,0.902528776778777,0.869241452991453,0.9949683544303797
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9820651249090602,0.883650317329068,0.8948734177215188,0.907713147963148,0.8790033577533578,0.9962341772151898
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9826660508547068,0.8803075003729818,0.8936392405063291,0.9075182456432458,0.8747039072039072,0.9962341772151898
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.984405430805684,0.8794805237987046,0.8936550632911391,0.90795406880701,0.8747680097680097,0.9962341772151898
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9857102895334693,0.8822411928371894,0.8986550632911392,0.9132016447604683,0.8776068376068377,0.9974841772151899
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9868014887296471,0.87980987049991,0.8986550632911392,0.9133517707782414,0.8760195360195361,0.9987341772151899
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9881831060208235,0.8735725247677367,0.8936550632911391,0.9062678359222478,0.87014652014652,0.9987341772151899
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9891693062819064,0.8699818387005053,0.888639240506329,0.9022909843424548,0.8655128205128205,0.9987341772151899
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9896457352082952,0.8700646616885008,0.8886550632911392,0.9049978420272538,0.8649175824175824,0.9987341772151899
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9895686115912445,0.8688064392271297,0.8861550632911392,0.90348715826657,0.8631913919413918,0.9987341772151899
