distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8007428773696154,0.6425283175478803,0.6521044303797469,0.6866862492083079,0.6407799145299146,0.9574367088607595
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8761219332892143,0.6425283175478803,0.6521044303797469,0.6866862492083079,0.6407799145299146,0.9737183544303798
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9015403487016226,0.6790103614302281,0.6909018987341773,0.7337294902809608,0.6762011599511599,0.9812183544303797
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9175508051590869,0.6853193268834453,0.7008544303797468,0.7359790842971958,0.6835836385836386,0.9874683544303797
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9241733255945832,0.7076616764877635,0.7208702531645569,0.768971677831972,0.7011965811965812,0.9874683544303797
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9306413844089221,0.7252153775767236,0.7371835443037975,0.7849479727358986,0.7193421855921855,0.9887183544303799
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9390263639100158,0.7337319190733063,0.7509651898734176,0.7936692299358707,0.7304990842490843,0.9912183544303798
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9439490873284049,0.7494986299295909,0.7634651898734177,0.8142957189868956,0.7425198412698413,0.9912183544303798
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9453872132845952,0.7557640580056357,0.7697151898734178,0.8260605600969377,0.7468711843711844,0.9912183544303798
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9477728359865628,0.7599218415688901,0.7759493670886076,0.8244438445541388,0.7515689865689865,0.9924683544303796
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9480648077617069,0.7660326427775189,0.7796677215189873,0.8299558039999215,0.7551755189255189,0.9924683544303796
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9516674905849711,0.7545711495823848,0.7671677215189874,0.8252930669896952,0.7413263125763125,0.9937183544303798
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9542253729076133,0.759696462642071,0.7734493670886076,0.8282263047410107,0.7492078754578755,0.9949683544303797
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9551245472237164,0.7539966772534153,0.7671993670886076,0.8214175317716339,0.7415796703296703,0.9962341772151898
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9566745645844362,0.7619061794687928,0.7747151898734177,0.8262614019966961,0.7508699633699634,0.9974841772151899
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8378839380431826,0.7048564917739066,0.720996835443038,0.735771663750766,0.7071504884004883,0.9649525316455696
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8992296191750878,0.7048564917739066,0.720996835443038,0.735771663750766,0.7071504884004883,0.9849841772151899
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9255952496331877,0.7497930796153116,0.7647151898734177,0.7774557000017527,0.7501114163614163,0.98748417721519
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9427428872871774,0.7808041995021591,0.7922626582278481,0.8038157088010027,0.7832570207570206,0.9912341772151899
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9523832399462806,0.7918872920394593,0.8034810126582279,0.8147059753971518,0.7905570818070817,0.99498417721519
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9597746910258389,0.7998901560522205,0.812246835443038,0.8236894523605051,0.7975457875457876,0.99498417721519
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9644600116813683,0.7923124238205821,0.8021993670886077,0.817989996114996,0.7908470695970695,0.9962341772151898
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9672292218401741,0.8059260749617179,0.8185284810126582,0.8297148823398823,0.8049526862026861,0.99498417721519
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9669062263154926,0.8020600936048041,0.8147784810126583,0.8306609134329722,0.8007158119658119,0.99498417721519
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9704331596557987,0.8124008256672524,0.8222626582278482,0.8461294147029441,0.8089804639804641,0.99498417721519
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9707513234806739,0.8063241840567059,0.8160126582278482,0.8325819286922227,0.8027594627594627,0.9962500000000001
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9731150502799369,0.7976575430081845,0.8122626582278482,0.8295554640148293,0.7934249084249083,0.9974999999999999
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9732615870219373,0.7972801427966796,0.8097784810126584,0.8303214473435062,0.7929334554334553,0.99875
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9742242510592474,0.7997725522335503,0.8122626582278482,0.8296381208660619,0.7944673382173382,1.0
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9766228392669625,0.8066528248228686,0.8172784810126583,0.8414360941346235,0.797985347985348,1.0
