distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8852718361517885,0.7906786336336074,0.8040355423917067,0.8157821622821624,0.792515873015873,0.9659940762680488
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9430416303810386,0.7906786336336074,0.8040355423917067,0.8157821622821624,0.792515873015873,0.9836912254720473
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9631745213817619,0.838333548721959,0.854442798963347,0.864932955932956,0.8388888888888888,0.9918363569048502
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9690687190592673,0.8636024449855046,0.873435764531655,0.8881627261627262,0.8612539682539684,0.9904664938911516
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9758810868964101,0.8789971583321631,0.8884116993706035,0.9035195360195359,0.8760000000000001,0.9904664938911516
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9782040254369326,0.8756873223992621,0.8857460199925953,0.8989275446775448,0.8730436507936508,0.9945575712699
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9823491352686918,0.8811159058108851,0.8898000740466493,0.905136752136752,0.8784722222222221,0.9959274342835986
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9837627615371591,0.8746582932031849,0.8843576453165494,0.8972478354978355,0.8718650793650793,0.9959274342835986
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9840182261478766,0.8796242949106053,0.889781562384302,0.9035021922521922,0.8777380952380952,0.9959274342835986
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9861171951509006,0.8851950354464488,0.8979266938171048,0.9093856143856145,0.8841825396825396,0.9986301369863014
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9877681710909323,0.8810296099258276,0.893835616438356,0.9029350926850928,0.8797222222222223,0.9986301369863014
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9886780501973517,0.8805373089691301,0.8937985931136616,0.9044942557442559,0.8795952380952381,0.9986301369863014
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9894746005491314,0.8811990793452968,0.8937985931136616,0.9075534188034189,0.8794047619047618,0.9986301369863014
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9892763465850191,0.8783613229772875,0.891114402073306,0.905342046842047,0.8774206349206348,0.9986301369863014
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9897597420946165,0.8741059996561074,0.8870603480192519,0.9034275724275727,0.8735039682539683,0.9986301369863014
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8852718361517885,0.7906786336336074,0.8040355423917067,0.8157821622821624,0.792515873015873,0.9659940762680488
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9430416303810386,0.7906786336336074,0.8040355423917067,0.8157821622821624,0.792515873015873,0.9836912254720473
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9631745213817619,0.8399885603769706,0.8557941503146983,0.8668377178377179,0.8405555555555555,0.9918363569048502
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9690687190592673,0.8636024449855046,0.873435764531655,0.8881627261627262,0.8612539682539684,0.9904664938911516
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9758637257852991,0.8789971583321631,0.8884116993706035,0.9035195360195359,0.8760000000000001,0.9904664938911516
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9781578706113659,0.8756873223992621,0.8857460199925953,0.8989275446775448,0.8730436507936508,0.9945575712699
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9823662292857858,0.8811159058108851,0.8898000740466493,0.905136752136752,0.8784722222222221,0.9959274342835986
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9838590201707312,0.8746582932031849,0.8843576453165494,0.8972478354978355,0.8718650793650793,0.9959274342835986
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9840644237313876,0.8816169689032793,0.8911514253980005,0.9045736208236208,0.8794047619047618,0.9959274342835986
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.986138517112521,0.8869452851966987,0.8992965568308036,0.9104570429570431,0.8858492063492063,0.9986301369863014
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9878808481173493,0.8827568826531003,0.8952054794520548,0.9057684260184262,0.8813888888888888,0.9986301369863014
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9887952782283198,0.8805373089691301,0.8937985931136616,0.9044942557442559,0.8795952380952381,0.9986301369863014
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9895375263317673,0.8811990793452968,0.8937985931136616,0.9075534188034189,0.8794047619047618,0.9986301369863014
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9893466881544828,0.8783613229772875,0.891114402073306,0.905342046842047,0.8774206349206348,0.9986301369863014
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9897810640562369,0.8741059996561074,0.8870603480192519,0.9034275724275727,0.8735039682539683,0.9986301369863014
