distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7996906287368675,0.6334627723899823,0.6568452380952381,0.6515144293829042,0.6384479029742188,0.9632802445302445
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8645025898447889,0.6334627723899823,0.6568452380952381,0.6515144293829042,0.6384479029742188,0.974002574002574
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8937424538354015,0.6587118658308744,0.6855131917631918,0.6888712791672813,0.6603704979231295,0.9820543758043758
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9101373856670897,0.6691976532543182,0.6989543114543114,0.7048217560045733,0.6677520608046924,0.9838481338481339
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9216689539259922,0.6879555453553566,0.7150659588159588,0.7276218496931345,0.6837253273042746,0.9856499356499357
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9296659890712382,0.6988344037850989,0.7258445945945946,0.7482895955351838,0.6909720805510279,0.9883445945945948
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9328737422515111,0.7090048569619978,0.734805341055341,0.7662314388927929,0.6976197574355469,0.9892374517374518
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.937610981531203,0.7129176251348663,0.7392535392535392,0.7741432678731894,0.7027775893696947,0.9919321106821106
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.940817269920224,0.726141947116968,0.7553169240669242,0.7953441059282476,0.7147370465791518,0.9928330115830114
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9440312842632336,0.7334382304776743,0.758976833976834,0.8047703142107997,0.7206587257771468,0.9928330115830114
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9472783031278716,0.7248274907164103,0.7544803732303732,0.7978500747512559,0.7133922422606633,0.9928330115830114
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9481844198995819,0.7253023099007725,0.7544964607464607,0.79764350333161,0.7137912131727921,0.9937258687258688
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9499781987160045,0.7328771350429595,0.7580518018018017,0.7949857087559924,0.7209341272762326,0.9946267696267697
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9523044473220912,0.7284979218237665,0.75625,0.7973650686452408,0.7162223478276111,0.9955196267696268
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9526095428084325,0.7221445304801584,0.7508767696267695,0.7955048899132506,0.7102326796011007,0.9955196267696268
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8330606994428258,0.6929998636782615,0.7195865508365508,0.7123555318763287,0.6978164481717113,0.9695302445302445
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8938791703892924,0.6929998636782615,0.7195865508365508,0.7123555318763287,0.6978164481717113,0.9847651222651223
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9184597494524744,0.7239182241936184,0.7563384813384814,0.7388710369045711,0.7274986431696957,0.9892535392535391
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9294671898477682,0.7417215518049086,0.7733429858429859,0.7620710947138293,0.7418578497525866,0.9883526383526384
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9375745600265233,0.7569891509405802,0.7858751608751608,0.7808691889970157,0.7559604138551507,0.9883526383526384
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9438588019232682,0.7716607543633156,0.7948037323037324,0.7954040520169171,0.7694464935649147,0.9883526383526384
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9487096841132295,0.7788477226309779,0.8001528314028314,0.7986407471867359,0.7771932088379456,0.9901383526383526
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9537908871428578,0.7826372837546611,0.80372425997426,0.8055850057519394,0.7813284171968383,0.9901463963963962
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9551464222170443,0.7887794933240284,0.8126689189189189,0.8129012945800703,0.7864166432982223,0.9910392535392534
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9557177363849675,0.7750406215064466,0.8019144144144145,0.8068569766502026,0.7728952670136879,0.9919321106821106
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9589961886059915,0.7768128702508641,0.8010296010296012,0.8071321627457213,0.7743587012402802,0.9928249678249678
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9596822267105555,0.7713849774787224,0.7965492277992279,0.8027535263916473,0.7690491774307563,0.9937178249678249
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9601747086998443,0.7761084194906858,0.8046412483912484,0.8071022898163193,0.7738401452348822,0.9937178249678249
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9650116173394503,0.782766391086435,0.8073037323037322,0.8096631646385649,0.779627932009511,0.994610682110682
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9660370737364324,0.7815600019266932,0.8073037323037322,0.8110948416127478,0.7780978977163187,0.994610682110682
