distance_metric,k,split,class,precision,recall,f1,support
euclidean,1,train,100180860,1.0,1.0,1.0,567
euclidean,1,train,100192430,1.0,1.0,1.0,810
euclidean,1,train,100610443,1.0,1.0,1.0,576
euclidean,1,train,100610883,1.0,1.0,1.0,549
euclidean,1,train,300000007,1.0,1.0,1.0,684
euclidean,1,train,300000018,1.0,1.0,1.0,576
euclidean,1,train,300000034,1.0,1.0,1.0,1152
euclidean,1,train,300000080,1.0,1.0,1.0,1152
euclidean,1,train,300000082,1.0,1.0,1.0,585
euclidean,1,train,700018215,1.0,1.0,1.0,540
euclidean,1,test,100180860,0.76,0.6031746031746031,0.672566371681416,63
euclidean,1,test,100192430,0.8125,0.8666666666666667,0.8387096774193549,90
euclidean,1,test,100610443,0.90625,0.90625,0.90625,64
euclidean,1,test,100610883,0.7441860465116279,0.5245901639344263,0.6153846153846153,61
euclidean,1,test,300000007,0.8441558441558441,0.8552631578947368,0.8496732026143792,76
euclidean,1,test,300000018,0.875,0.765625,0.8166666666666667,64
euclidean,1,test,300000034,0.7959183673469388,0.9140625,0.850909090909091,128
euclidean,1,test,300000080,0.7894736842105263,0.8203125,0.8045977011494253,128
euclidean,1,test,300000082,0.8,0.9846153846153847,0.8827586206896553,65
euclidean,1,test,700018215,0.6792452830188679,0.6,0.6371681415929203,60
euclidean,2,train,100180860,1.0,1.0,1.0,567
euclidean,2,train,100192430,1.0,1.0,1.0,810
euclidean,2,train,100610443,1.0,1.0,1.0,576
euclidean,2,train,100610883,1.0,1.0,1.0,549
euclidean,2,train,300000007,1.0,1.0,1.0,684
euclidean,2,train,300000018,1.0,1.0,1.0,576
euclidean,2,train,300000034,1.0,1.0,1.0,1152
euclidean,2,train,300000080,1.0,1.0,1.0,1152
euclidean,2,train,300000082,1.0,1.0,1.0,585
euclidean,2,train,700018215,1.0,1.0,1.0,540
euclidean,2,test,100180860,0.76,0.6031746031746031,0.672566371681416,63
euclidean,2,test,100192430,0.8125,0.8666666666666667,0.8387096774193549,90
euclidean,2,test,100610443,0.90625,0.90625,0.90625,64
euclidean,2,test,100610883,0.7441860465116279,0.5245901639344263,0.6153846153846153,61
euclidean,2,test,300000007,0.8441558441558441,0.8552631578947368,0.8496732026143792,76
euclidean,2,test,300000018,0.875,0.765625,0.8166666666666667,64
euclidean,2,test,300000034,0.7959183673469388,0.9140625,0.850909090909091,128
euclidean,2,test,300000080,0.7894736842105263,0.8203125,0.8045977011494253,128
euclidean,2,test,300000082,0.8,0.9846153846153847,0.8827586206896553,65
euclidean,2,test,700018215,0.6792452830188679,0.6,0.6371681415929203,60
euclidean,3,train,100180860,1.0,1.0,1.0,567
euclidean,3,train,100192430,1.0,1.0,1.0,810
euclidean,3,train,100610443,1.0,1.0,1.0,576
euclidean,3,train,100610883,1.0,1.0,1.0,549
euclidean,3,train,300000007,1.0,1.0,1.0,684
euclidean,3,train,300000018,1.0,1.0,1.0,576
euclidean,3,train,300000034,1.0,1.0,1.0,1152
euclidean,3,train,300000080,1.0,1.0,1.0,1152
euclidean,3,train,300000082,1.0,1.0,1.0,585
euclidean,3,train,700018215,1.0,1.0,1.0,540
euclidean,3,test,100180860,0.803921568627451,0.6507936507936508,0.7192982456140351,63
euclidean,3,test,100192430,0.8842105263157894,0.9333333333333333,0.9081081081081082,90
euclidean,3,test,100610443,0.9393939393939394,0.96875,0.9538461538461539,64
euclidean,3,test,100610883,0.8444444444444444,0.6229508196721312,0.7169811320754719,61
euclidean,3,test,300000007,0.8625,0.9078947368421053,0.8846153846153847,76
euclidean,3,test,300000018,0.9038461538461539,0.734375,0.810344827586207,64
euclidean,3,test,300000034,0.8732394366197183,0.96875,0.9185185185185184,128
euclidean,3,test,300000080,0.8181818181818182,0.9140625,0.8634686346863468,128
euclidean,3,test,300000082,0.8289473684210527,0.9692307692307692,0.8936170212765957,65
