distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.794706912639876,0.6304951296834003,0.6411623005118939,0.6700100035843071,0.6299532967032967,0.9560373381511592
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8725042455902015,0.6304951296834003,0.6411623005118939,0.6700100035843071,0.6299532967032967,0.9743450767841013
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9003528171610637,0.6726240483938002,0.6899126769045467,0.7097793700107943,0.6737200854700854,0.98291177356218
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9143880487397299,0.6889450012495182,0.7082354712436013,0.7395277288071405,0.6885821123321123,0.9841312857573019
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9277918609378851,0.707643589440734,0.7253086419753085,0.7673392929310112,0.704551282051282,0.986570310147546
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9317724057395974,0.7194756499241326,0.7386931647094248,0.7842397324897326,0.7162380952380952,0.987789822342668
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9381410741715761,0.724216966576985,0.7436013249021379,0.7889431288525716,0.7198717948717948,0.9890093345377899
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9428340615104407,0.7418921983899738,0.7606744956338451,0.7949849317349317,0.737584249084249,0.9939024390243902
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9456920822594853,0.7366465722789558,0.7509183980728696,0.7912443601719917,0.7299114774114774,0.9939024390243902
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9481287493058612,0.7505881336399366,0.7668021680216801,0.81611565953826,0.7441517094017095,0.9939024390243902
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9507188519843812,0.7514865301078967,0.7680367359229148,0.8221736509104931,0.7447344322344323,0.9951219512195122
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9525820179091953,0.7510144992193589,0.7692562481180367,0.817665392485052,0.7452457264957264,0.9951219512195122
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9542659056242009,0.747648441764474,0.7619241192411924,0.8143679960390486,0.7403919413919414,0.9951219512195122
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9532683550909429,0.7427987182387465,0.758250526949714,0.8205135286969654,0.7353647741147741,0.9951219512195122
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9542884969010892,0.7519057122994169,0.7655826558265583,0.8223772711636489,0.7431300366300366,0.9951219512195122
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8389699241385064,0.7073972908965371,0.7192562481180367,0.7276459512709513,0.7094835164835164,0.9657934357121348
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9043687678420653,0.7073972908965371,0.7192562481180367,0.7276459512709513,0.7094835164835164,0.9853357422463114
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9289193059639104,0.7559797744093433,0.770505871725384,0.7765434818449524,0.759281746031746,0.9865552544414333
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9407355260382999,0.7768664257506586,0.7887985546522132,0.8003981720893485,0.7778467643467644,0.9890093345377899
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9494620702964749,0.791234032812626,0.804637157482686,0.8129942002442002,0.7914752747252747,0.9902288467329118
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9576866174704394,0.7828861206422473,0.7997892201144234,0.8042269527857762,0.7844151404151403,0.9914483589280337
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9610200677035712,0.7886824365677502,0.8046672688949112,0.8120812512650748,0.7870357142857143,0.9914483589280337
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9623039604476622,0.8016235843495233,0.8168473351400181,0.8256199405169993,0.8027896825396825,0.9926678711231556
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9645038183504342,0.7943955396514647,0.807106293285155,0.819124888999889,0.7948363858363858,0.9938873833182775
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9669254577597217,0.8033807123531368,0.8132189099668775,0.8230165879871763,0.8011321733821732,0.9926678711231556
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9685981690166023,0.8031709859888518,0.8144384221619994,0.8294223970473971,0.8009966422466421,0.9938873833182775
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9694652192725801,0.7906218860140607,0.8071213489912678,0.819327742518919,0.7903373015873016,0.9951068955133995
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9712890948355751,0.7905180141015916,0.8071364046973803,0.817011842732431,0.7897890720390721,0.9975609756097562
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9726815730024129,0.8012390665218433,0.8144534778681122,0.8276688662644546,0.797991452991453,0.998780487804878
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9732587645400119,0.8008606995965882,0.815672990063234,0.8291760959628608,0.7987561050061049,0.998780487804878
