distance_metric,k,split,class,precision,recall,f1,support
euclidean,1,train,100180860,1.0,1.0,1.0,576
euclidean,1,train,100192430,1.0,1.0,1.0,612
euclidean,1,train,100610443,1.0,1.0,1.0,576
euclidean,1,train,100610883,1.0,1.0,1.0,576
euclidean,1,train,300000007,1.0,1.0,1.0,576
euclidean,1,train,300000018,1.0,1.0,1.0,576
euclidean,1,train,300000034,1.0,1.0,1.0,864
euclidean,1,train,300000080,1.0,1.0,1.0,864
euclidean,1,train,300000082,1.0,1.0,1.0,576
euclidean,1,train,700018215,1.0,1.0,1.0,576
euclidean,1,test,100180860,0.6086956521739131,0.4375,0.5090909090909091,64
euclidean,1,test,100192430,0.4424778761061947,0.7352941176470589,0.5524861878453039,68
euclidean,1,test,100610443,0.8679245283018868,0.71875,0.7863247863247864,64
euclidean,1,test,100610883,0.5571428571428572,0.609375,0.582089552238806,64
euclidean,1,test,300000007,0.7611940298507462,0.796875,0.7786259541984732,64
euclidean,1,test,300000018,0.6491228070175439,0.578125,0.6115702479338843,64
euclidean,1,test,300000034,0.6633663366336634,0.6979166666666666,0.6802030456852792,96
euclidean,1,test,300000080,0.5494505494505495,0.5208333333333334,0.5347593582887702,96
euclidean,1,test,300000082,0.7384615384615385,0.75,0.7441860465116279,64
euclidean,1,test,700018215,0.6444444444444445,0.453125,0.5321100917431193,64
euclidean,2,train,100180860,1.0,1.0,1.0,576
euclidean,2,train,100192430,1.0,1.0,1.0,612
euclidean,2,train,100610443,1.0,1.0,1.0,576
euclidean,2,train,100610883,1.0,1.0,1.0,576
euclidean,2,train,300000007,1.0,1.0,1.0,576
euclidean,2,train,300000018,1.0,1.0,1.0,576
euclidean,2,train,300000034,1.0,1.0,1.0,864
euclidean,2,train,300000080,1.0,1.0,1.0,864
euclidean,2,train,300000082,1.0,1.0,1.0,576
euclidean,2,train,700018215,1.0,1.0,1.0,576
euclidean,2,test,100180860,0.6086956521739131,0.4375,0.5090909090909091,64
euclidean,2,test,100192430,0.4424778761061947,0.7352941176470589,0.5524861878453039,68
euclidean,2,test,100610443,0.8679245283018868,0.71875,0.7863247863247864,64
euclidean,2,test,100610883,0.5571428571428572,0.609375,0.582089552238806,64
euclidean,2,test,300000007,0.7611940298507462,0.796875,0.7786259541984732,64
euclidean,2,test,300000018,0.6491228070175439,0.578125,0.6115702479338843,64
euclidean,2,test,300000034,0.6633663366336634,0.6979166666666666,0.6802030456852792,96
euclidean,2,test,300000080,0.5494505494505495,0.5208333333333334,0.5347593582887702,96
euclidean,2,test,300000082,0.7384615384615385,0.75,0.7441860465116279,64
euclidean,2,test,700018215,0.6444444444444445,0.453125,0.5321100917431193,64
euclidean,3,train,100180860,1.0,1.0,1.0,576
