distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8247518685895441,0.6783053031918026,0.7123552123552124,0.6985746260604384,0.6821074816995869,0.9677445302445303
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8863879646301823,0.6783053031918026,0.7123552123552124,0.6985746260604384,0.6821074816995869,0.9820785070785071
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9128972318124143,0.7146788316518279,0.7527107464607464,0.7376473592686609,0.7135800807379754,0.9883606821106822
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9332827078615613,0.7367781185414517,0.7688706563706564,0.7704958987639193,0.7321582715530084,0.9892535392535391
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9399437906166643,0.7548452544850247,0.782311776061776,0.7889342931223366,0.7473101664417452,0.9892535392535391
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.947706571600835,0.7603599343927391,0.7849259974259974,0.7909627052395762,0.752449925805189,0.991055341055341
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9542624287135254,0.7664887694575596,0.7894144144144144,0.7949379159215173,0.7579248383195751,0.9919481981981981
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9566781080283026,0.7726442000228599,0.7966055341055341,0.8096630372979747,0.763481476126213,0.9919481981981981
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.956993322346889,0.7750979941078525,0.7947796010296011,0.8101684471735421,0.7666080995028364,0.9910392535392536
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9592241709532663,0.7750783702536782,0.8010778635778637,0.8111038926219132,0.7652546751494119,0.9919401544401545
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.958571277697329,0.7616292221183993,0.7903153153153153,0.7999133614711418,0.7532218848403058,0.9919401544401545
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9603894475012528,0.7682102482075327,0.7965814028314029,0.8137038980597333,0.7567532701216911,0.9937258687258688
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.961048015781319,0.7691005999070044,0.7956805019305019,0.812451257704919,0.7577923421607633,0.9937258687258688
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9629082029078772,0.7689274164786357,0.7992680180180181,0.8172452581235191,0.7569258008073798,0.9937258687258688
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9637825067572905,0.7668622513455968,0.796573359073359,0.8166719695445668,0.7538467964783755,0.9964205276705276
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8247518685895441,0.6783053031918026,0.7123552123552124,0.6985746260604384,0.6821074816995869,0.9677445302445303
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8863879646301823,0.6783053031918026,0.7123552123552124,0.6985746260604384,0.6821074816995869,0.9820785070785071
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9129288802735278,0.7187945449801239,0.7562902187902187,0.7426987643852835,0.7172849679560207,0.9883606821106822
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9332865439471932,0.7394103612002902,0.7706644144144145,0.7725825898506103,0.7350154144101513,0.9892535392535391
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9399256307178858,0.7591899170859314,0.7849983912483912,0.7926074532954969,0.7515958807274595,0.9892535392535391
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9478233356503111,0.7616813629641677,0.7858268983268983,0.7923119115887826,0.7538784972337604,0.991055341055341
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9543698262048611,0.7671310728905607,0.7903072715572714,0.79568890406381,0.7584248383195752,0.9919481981981981
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9568081069968095,0.7732608008133738,0.7974983912483913,0.8105812191161565,0.7639576666024034,0.9919481981981981
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9571607619342724,0.7750979941078525,0.7947796010296011,0.8101684471735421,0.7666080995028364,0.9910392535392536
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9594529784813683,0.7757362534333004,0.8019707207207208,0.812103563241149,0.7657308656256024,0.9919401544401545
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.958765293198487,0.7641324165983379,0.7921090733590733,0.8025748050999766,0.7551504562688773,0.9919401544401545
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9605393059050253,0.7707698267785025,0.7974823037323038,0.8166037898346252,0.7584993018677229,0.9937258687258688
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9613002776703736,0.7700718628108939,0.796573359073359,0.8125477662688189,0.7586098024782235,0.9937258687258688
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9631846696023878,0.770352975717014,0.800168918918919,0.8183943338275821,0.7583781817597608,0.9937258687258688
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9640047583473903,0.7695313916276847,0.7974662162162163,0.8179017935704435,0.7562039393355182,0.9964205276705276
