distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7963772393743171,0.62919721339914,0.655920205920206,0.6553704919210417,0.6319239824502982,0.9650659588159588
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8679153327432163,0.62919721339914,0.655920205920206,0.6553704919210417,0.6319239824502982,0.974002574002574
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8989353765437306,0.6621501766502007,0.690862290862291,0.6975687878069532,0.661528867331499,0.9847490347490349
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9134037784733385,0.6644343962621377,0.6980292792792793,0.7015686716068136,0.6628221573747889,0.9847490347490349
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9236757171208513,0.6901026359517666,0.7195543758043759,0.7319594030283205,0.6837094542884016,0.9865508365508366
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9259344505165285,0.7042683187823714,0.7339124839124839,0.7598592218664117,0.6969858810779863,0.9865508365508366
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9325118951725315,0.7157569780072368,0.7410312097812098,0.7786650100139979,0.7058850199508093,0.9883445945945946
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9381247583447483,0.7233569770024568,0.7499919562419564,0.7864426336311047,0.7128548089337563,0.9901383526383526
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9401918873121534,0.726569010286487,0.7553410553410553,0.7921104313469556,0.7151371187292239,0.9910392535392536
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9445996622693309,0.7411716670566904,0.7678973616473617,0.8064104703804393,0.7296754502807135,0.9910392535392536
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9464744454119005,0.7341866428235175,0.7625321750321751,0.8060984633308992,0.7223457244509877,0.9928330115830114
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9496154036419414,0.7279840434688337,0.7544803732303733,0.7987367014490814,0.7154916983601194,0.9946187258687258
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.950819415893543,0.7427401884437819,0.7706000643500645,0.8116267384958012,0.7304658163473954,0.9946187258687258
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.951935726091298,0.7295704672163627,0.7571750321750322,0.7982112741691901,0.7172472016287805,0.9946187258687258
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9542408090832255,0.7268608683810968,0.7544723294723295,0.7958685918189868,0.7138902354954986,0.9964124839124839
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8247518685895441,0.6783053031918026,0.7123552123552124,0.6985746260604384,0.6821074816995869,0.9677445302445303
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8863879646301823,0.6783053031918026,0.7123552123552124,0.6985746260604384,0.6821074816995869,0.9820785070785071
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9129288802735278,0.7187945449801239,0.7562902187902187,0.7426987643852835,0.7172849679560207,0.9883606821106822
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9332865439471932,0.7394103612002902,0.7706644144144145,0.7725825898506103,0.7350154144101513,0.9892535392535391
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9399256307178858,0.7591899170859314,0.7849983912483912,0.7926074532954969,0.7515958807274595,0.9892535392535391
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9478233356503111,0.7616813629641677,0.7858268983268983,0.7923119115887826,0.7538784972337604,0.991055341055341
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9543698262048611,0.7671310728905607,0.7903072715572714,0.79568890406381,0.7584248383195752,0.9919481981981981
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9568081069968095,0.7732608008133738,0.7974983912483913,0.8105812191161565,0.7639576666024034,0.9919481981981981
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9571607619342724,0.7750979941078525,0.7947796010296011,0.8101684471735421,0.7666080995028364,0.9910392535392536
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9594529784813683,0.7757362534333004,0.8019707207207208,0.812103563241149,0.7657308656256024,0.9919401544401545
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.958765293198487,0.7641324165983379,0.7921090733590733,0.8025748050999766,0.7551504562688773,0.9919401544401545
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9605393059050253,0.7707698267785025,0.7974823037323038,0.8166037898346252,0.7584993018677229,0.9937258687258688
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9613002776703736,0.7700718628108939,0.796573359073359,0.8125477662688189,0.7586098024782235,0.9937258687258688
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9631846696023878,0.770352975717014,0.800168918918919,0.8183943338275821,0.7583781817597608,0.9937258687258688
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9640047583473903,0.7695313916276847,0.7974662162162163,0.8179017935704435,0.7562039393355182,0.9964205276705276
