distance_metric,k,split,class,precision,recall,f1,support
euclidean,1,train,100180860,1.0,1.0,1.0,603
euclidean,1,train,100192430,1.0,1.0,1.0,1224
euclidean,1,train,100610443,1.0,1.0,1.0,801
euclidean,1,train,100610883,1.0,1.0,1.0,585
euclidean,1,train,300000007,1.0,1.0,1.0,1035
euclidean,1,train,300000018,1.0,1.0,1.0,666
euclidean,1,train,300000034,1.0,1.0,1.0,1890
euclidean,1,train,300000080,1.0,1.0,1.0,1782
euclidean,1,train,300000082,1.0,1.0,1.0,882
euclidean,1,train,700018215,1.0,1.0,1.0,576
euclidean,1,test,100180860,0.6,0.5373134328358209,0.5669291338582678,67
euclidean,1,test,100192430,0.7299270072992701,0.7352941176470589,0.7326007326007326,136
euclidean,1,test,100610443,0.8043478260869565,0.8314606741573034,0.8176795580110497,89
euclidean,1,test,100610883,0.5849056603773585,0.47692307692307695,0.5254237288135594,65
euclidean,1,test,300000007,0.7777777777777778,0.7913043478260869,0.7844827586206897,115
euclidean,1,test,300000018,0.6621621621621622,0.6621621621621622,0.6621621621621622,74
euclidean,1,test,300000034,0.7647058823529411,0.8047619047619048,0.7842227378190256,210
euclidean,1,test,300000080,0.7150537634408602,0.6717171717171717,0.6927083333333334,198
euclidean,1,test,300000082,0.6923076923076923,0.826530612244898,0.7534883720930232,98
euclidean,1,test,700018215,0.5254237288135594,0.484375,0.5040650406504066,64
euclidean,2,train,100180860,1.0,1.0,1.0,603
euclidean,2,train,100192430,1.0,1.0,1.0,1224
euclidean,2,train,100610443,1.0,1.0,1.0,801
euclidean,2,train,100610883,1.0,1.0,1.0,585
euclidean,2,train,300000007,1.0,1.0,1.0,1035
euclidean,2,train,300000018,1.0,1.0,1.0,666
euclidean,2,train,300000034,1.0,1.0,1.0,1890
euclidean,2,train,300000080,1.0,1.0,1.0,1782
euclidean,2,train,300000082,1.0,1.0,1.0,882
euclidean,2,train,700018215,1.0,1.0,1.0,576
euclidean,2,test,100180860,0.6,0.5373134328358209,0.5669291338582678,67
euclidean,2,test,100192430,0.7299270072992701,0.7352941176470589,0.7326007326007326,136
euclidean,2,test,100610443,0.8043478260869565,0.8314606741573034,0.8176795580110497,89
euclidean,2,test,100610883,0.5849056603773585,0.47692307692307695,0.5254237288135594,65
euclidean,2,test,300000007,0.7777777777777778,0.7913043478260869,0.7844827586206897,115
euclidean,2,test,300000018,0.6621621621621622,0.6621621621621622,0.6621621621621622,74
euclidean,2,test,300000034,0.7647058823529411,0.8047619047619048,0.7842227378190256,210
euclidean,2,test,300000080,0.7150537634408602,0.6717171717171717,0.6927083333333334,198
euclidean,2,test,300000082,0.6923076923076923,0.826530612244898,0.7534883720930232,98
euclidean,2,test,700018215,0.5254237288135594,0.484375,0.5040650406504066,64
euclidean,3,train,100180860,1.0,1.0,1.0,603
euclidean,3,train,100192430,1.0,1.0,1.0,1224
euclidean,3,train,100610443,1.0,1.0,1.0,801
euclidean,3,train,100610883,1.0,1.0,1.0,585
euclidean,3,train,300000007,1.0,1.0,1.0,1035
euclidean,3,train,300000018,1.0,1.0,1.0,666
euclidean,3,train,300000034,1.0,1.0,1.0,1890
euclidean,3,train,300000080,1.0,1.0,1.0,1782
euclidean,3,train,300000082,1.0,1.0,1.0,882
euclidean,3,train,700018215,1.0,1.0,1.0,576
euclidean,3,test,100180860,0.639344262295082,0.582089552238806,0.609375,67
euclidean,3,test,100192430,0.7829457364341085,0.7426470588235294,0.7622641509433962,136
euclidean,3,test,100610443,0.8555555555555555,0.8651685393258427,0.8603351955307262,89
euclidean,3,test,100610883,0.6792452830188679,0.5538461538461539,0.6101694915254237,65
euclidean,3,test,300000007,0.7786885245901639,0.8260869565217391,0.8016877637130801,115
euclidean,3,test,300000018,0.6714285714285714,0.6351351351351351,0.6527777777777778,74
euclidean,3,test,300000034,0.8114035087719298,0.8809523809523809,0.8447488584474886,210
euclidean,3,test,300000080,0.7626262626262627,0.7626262626262627,0.7626262626262628,198
euclidean,3,test,300000082,0.6909090909090909,0.7755102040816326,0.7307692307692308,98
euclidean,3,test,700018215,0.6,0.515625,0.5546218487394958,64
euclidean,4,train,100180860,1.0,1.0,1.0,603
euclidean,4,train,100192430,1.0,1.0,1.0,1224
euclidean,4,train,100610443,1.0,1.0,1.0,801
euclidean,4,train,100610883,1.0,1.0,1.0,585
euclidean,4,train,300000007,1.0,1.0,1.0,1035
euclidean,4,train,300000018,1.0,1.0,1.0,666
euclidean,4,train,300000034,1.0,1.0,1.0,1890
euclidean,4,train,300000080,1.0,1.0,1.0,1782
euclidean,4,train,300000082,1.0,1.0,1.0,882
euclidean,4,train,700018215,1.0,1.0,1.0,576
euclidean,4,test,100180860,0.6666666666666666,0.5970149253731343,0.6299212598425197,67
euclidean,4,test,100192430,0.8046875,0.7573529411764706,0.7803030303030303,136
euclidean,4,test,100610443,0.8863636363636364,0.8764044943820225,0.8813559322033898,89
euclidean,4,test,100610883,0.7,0.5384615384615384,0.608695652173913,65
euclidean,4,test,300000007,0.7899159663865546,0.8173913043478261,0.8034188034188035,115
euclidean,4,test,300000018,0.7352941176470589,0.6756756756756757,0.7042253521126761,74
euclidean,4,test,300000034,0.7907949790794979,0.9,0.8418708240534521,210
euclidean,4,test,300000080,0.7463414634146341,0.7727272727272727,0.7593052109181141,198
euclidean,4,test,300000082,0.7358490566037735,0.7959183673469388,0.7647058823529412,98
euclidean,4,test,700018215,0.7169811320754716,0.59375,0.6495726495726496,64
euclidean,5,train,100180860,1.0,1.0,1.0,603
euclidean,5,train,100192430,1.0,1.0,1.0,1224
euclidean,5,train,100610443,1.0,1.0,1.0,801
euclidean,5,train,100610883,1.0,1.0,1.0,585
euclidean,5,train,300000007,1.0,1.0,1.0,1035
euclidean,5,train,300000018,1.0,1.0,1.0,666
euclidean,5,train,300000034,1.0,1.0,1.0,1890
euclidean,5,train,300000080,1.0,1.0,1.0,1782
euclidean,5,train,300000082,1.0,1.0,1.0,882
euclidean,5,train,700018215,1.0,1.0,1.0,576
euclidean,5,test,100180860,0.7758620689655172,0.6716417910447762,0.7200000000000001,67
euclidean,5,test,100192430,0.823076923076923,0.7867647058823529,0.8045112781954886,136
euclidean,5,test,100610443,0.8777777777777778,0.8876404494382022,0.88268156424581,89
euclidean,5,test,100610883,0.7551020408163265,0.5692307692307692,0.6491228070175438,65
euclidean,5,test,300000007,0.7815126050420168,0.808695652173913,0.7948717948717948,115
euclidean,5,test,300000018,0.7424242424242424,0.6621621621621622,0.7000000000000001,74
euclidean,5,test,300000034,0.7966101694915254,0.8952380952380953,0.8430493273542602,210
euclidean,5,test,300000080,0.7632850241545893,0.797979797979798,0.7802469135802469,198
euclidean,5,test,300000082,0.7207207207207207,0.8163265306122449,0.7655502392344496,98
euclidean,5,test,700018215,0.74,0.578125,0.6491228070175439,64
euclidean,6,train,100180860,1.0,1.0,1.0,603
